IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,Code,,
MRY,Monterey Regional Airport?(Monterey Peninsula Airport),Monterey,CA,USA,36.58698,-121.84295,13476,17,Monterey Regional ?(Monterey Peninsula )
MSN,Dane County Regional Airport,Madison,WI,USA,43.13986,-89.33751,13485,9,Dane County Regional
MSO,Missoula International Airport,Missoula,MT,USA,46.91631,-114.09056,13486,1,Missoula International
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,USA,44.88055,-93.21692,13487,1,Minneapolis-Saint Paul International
MSY,Louis Armstrong New Orleans International Airport,New Orleans,LA,USA,29.99339,-90.25803,13495,8,Louis Armstrong New Orleans International
MTJ,Montrose Regional Airport,Montrose,CO,USA,38.50887,-107.89383,13502,7,Montrose Regional
MVY,Martha's Vineyard Airport,Marthas Vineyard,MA,USA,41.39303,-70.61433,13541,29,Martha's Vineyard
MYR,Myrtle Beach International Airport,Myrtle Beach,SC,USA,33.67975,-78.92833,13577,46,Myrtle Beach International
OAJ,Albert J. Ellis Airport,Jacksonville,NC,USA,34.82916,-77.61214,13795,218,Albert J. Ellis
OAK,Oakland International Airport,Oakland,CA,USA,37.72129,-122.22072,13796,1,Oakland International
OGG,Kahului Airport,Kahului,HI,USA,20.89865,-156.43046,13830,34,Kahului
OKC,Will Rogers World Airport,Oklahoma City,OK,USA,35.39309,-97.60073,13851,21,Will Rogers World
OMA,Eppley Airfield,Omaha,NE,USA,41.30252,-95.89417,13871,20,Eppley Airfield
OME,Nome Airport,Nome,AK,USA,64.5122,-165.44525,13873,2,Nome
ONT,Ontario International Airport,Ontario,CA,USA,34.056,-117.60119,13891,18,Ontario International
ORD,Chicago O'Hare International Airport,Chicago,IL,USA,41.9796,-87.90446,13930,39,Chicago O'Hare International
ORF,Norfolk International Airport,Norfolk,VA,USA,36.89461,-76.20122,13931,1,Norfolk International
ORH,Worcester Regional Airport,Worcester,MA,USA,42.26734,-71.87571,13933,2,Worcester Regional
OTH,Southwest Oregon Regional Airport?(North Bend Municipal),North Bend,OR,USA,43.41714,-124.24603,13964,31,Southwest Oregon Regional ?(North Bend Municipal)
OTZ,Ralph Wien Memorial Airport,Kotzebue,AK,USA,66.88468,-162.59855,13970,6,Ralph Wien Memorial
PAH,Barkley Regional Airport,Paducah,KY,USA,37.06083,-88.77375,14006,36,Barkley Regional
PBG,Plattsburgh International Airport,Plattsburgh,NY,USA,,,14025,19,Plattsburgh International
PBI,Palm Beach International Airport,West Palm Beach,FL,USA,26.68316,-80.09559,14027,2,Palm Beach International
PDX,Portland International Airport,Portland,OR,USA,45.58872,-122.5975,14057,30,Portland International
PHF,Newport News/Williamsburg International Airport,Newport News,VA,USA,37.1319,-76.49299,14098,41,Newport News/Williamsburg International
PHL,Philadelphia International Airport,Philadelphia,PA,USA,39.87195,-75.24114,14100,2,Philadelphia International
PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,USA,33.43417,-112.00806,14107,7,Phoenix Sky Harbor International
PIA,General Wayne A. Downing Peoria International Airport,Peoria,IL,USA,40.66424,-89.69331,14108,1,General Wayne A. Downing Peoria International
PIB,Hattiesburg-Laurel Regional Airport,Hattiesburg-Laurel,MS,USA,31.46715,-89.33706,14109,1,Hattiesburg-Laurel Regional
PIH,Pocatello Regional Airport,Pocatello,ID,USA,42.91131,-112.59586,14113,4,Pocatello Regional
PIT,Pittsburgh International Airport,Pittsburgh,PA,USA,40.49147,-80.23287,14122,9,Pittsburgh International
PLN,Pellston Regional Airport of Emmet County,Pellston,MI,USA,45.57093,-84.79672,14150,28,Pellston Regional  of Emmet County
PNS,Pensacola International Airport?(Pensacola Gulf Coast Regional Airport),Pensacola,FL,USA,30.47331,-87.18744,14193,43,Pensacola International ?(Pensacola Gulf Coast Regional )
PPG,Pago Pago International Airport (Tafuna Airport),Pago Pago,AS,USA,14.33102,-170.71053,14222,29,Pago Pago International  (Tafuna )
